Date,Open,High,Low,Close,Adj Close,Volume
"Apr 7, 2025","64,744.45","64,813.84","59,813.12","60,578.21","60,578.21","28,11,08,72,346"
"Apr 6, 2025","65,076.57","65,357.79","63,965.32","64,744.68","64,744.68","11,15,00,23,648"
"Apr 5, 2025","63,487.01","65,208.41","62,797.38","65,075.87","65,075.87","35,04,93,73,392"
"Apr 4, 2025","63,239.02","64,240.63","61,795.29","63,488.98","63,488.98","28,15,43,13,439"
"Apr 3, 2025","65,919.23","67,994.20","63,270.63","63,237.67","63,237.67","36,48,05,79,087"
"Apr 2, 2025","63,894.52","66,166.20","63,783.02","65,910.38","65,910.38","21,80,44,59,567"
"Apr 1, 2025","63,637.05","64,937.53","62,746.12","63,892.20","63,892.20","22,44,90,40,629"
"Mar 31, 2025","63,803.61","64,505.03","63,118.61","63,635.86","63,635.86","11,41,08,22,250"
"Mar 30, 2025","65,159.36","65,325.64","63,059.84","63,804.07","63,804.07","13,10,83,32,463"
"Mar 29, 2025","67,317.29","67,566.76","64,581.62","65,160.20","65,160.20","26,41,73,73,414"
"Mar 28, 2025","67,480.85","67,966.68","66,342.77","67,311.01","67,311.01","18,85,00,81,128"
"Mar 27, 2025","67,563.91","68,395.26","66,649.44","67,484.45","67,484.45","20,73,75,07,624"
"Mar 26, 2025","67,718.55","68,408.74","66,815.20","67,572.77","67,572.77","23,17,98,11,496"
"Mar 25, 2025","66,590.49","68,551.30","66,187.84","67,707.80","67,707.80","26,76,04,69,271"
"Mar 24, 2025","64,880.23","66,608.95","64,851.61","66,577.69","66,577.69","9,74,40,76,202"
"Mar 23, 2025","65,056.34","65,418.30","64,768.80","64,880.69","64,880.69","7,63,34,62,334"
"Mar 22, 2025","64,916.03","65,393.92","64,331.49","65,054.01","65,054.01","14,73,05,97,724"
"Mar 21, 2025","66,772.98","67,195.43","64,501.77","64,918.07","64,918.07","22,39,00,30,156"
"Mar 20, 2025","63,627.80","66,893.71","63,546.32","66,758.59","66,758.59","26,84,96,82,749"
"Mar 19, 2025","64,753.10","64,753.10","62,604.30","63,627.57","63,627.57","18,53,46,14,392"
"Mar 18, 2025","63,878.25","65,205.71","63,583.63","64,753.08","64,753.08","19,32,58,61,210"
"Mar 17, 2025","65,159.97","65,714.95","63,428.05","63,880.84","63,880.84","16,50,03,71,777"
"Mar 16, 2025","64,880.54","65,424.71","64,626.48","65,167.54","65,167.54","10,54,70,24,784"
"Mar 15, 2025","62,566.37","65,974.34","62,358.02","64,881.07","64,881.07","22,86,20,83,524"
"Mar 14, 2025","64,580.38","65,009.25","61,753.59","62,566.14","62,566.14","24,24,40,67,429"
"Mar 13, 2025","64,012.21","65,135.87","62,278.31","64,578.41","64,578.41","31,12,62,56,699"
"Mar 12, 2025","60,994.13","64,488.35","59,466.32","64,015.95","64,015.95","42,26,11,69,201"
"Mar 11, 2025","62,322.88","65,087.84","60,178.33","61,000.44","61,000.44","41,99,24,45,526"
"Mar 10, 2025","66,726.77","66,972.15","61,923.56","62,325.88","62,325.88","23,89,33,51,868"
"Mar 9, 2025","67,182.45","67,263.47","66,024.43","66,726.99","66,726.99","14,10,06,93,072"
"Mar 8, 2025","69,828.33","70,753.41","65,757.61","67,182.46","67,182.46","51,07,51,25,183"
"Mar 7, 2025","70,304.65","71,929.40","68,177.30","69,827.13","69,827.13","37,06,27,82,152"
"Mar 6, 2025","68,164.39","70,579.60","67,544.92","70,305.58","70,305.58","39,17,70,13,914"
"Mar 5, 2025","67,757.98","69,473.84","64,159.84","68,163.80","68,163.80","53,21,61,58,831"
"Mar 4, 2025","74,785.94","74,929.81","66,985.53","67,759.24","67,759.24","55,16,76,55,310"
"Mar 3, 2025","68,429.37","75,593.27","67,607.56","74,785.88","74,785.88","46,33,89,66,860"
"Mar 2, 2025","67,107.17","68,815.95","66,646.16","68,425.91","68,425.91","23,21,69,12,248"
"Mar 1, 2025","67,245.09","67,627.69","62,103.97","67,106.49","67,106.49","66,50,00,85,360"
"Feb 28, 2025","66,302.84","68,616.21","65,977.85","67,243.98","67,243.98","41,80,47,64,945"
"Feb 27, 2025","69,948.85","70,561.95","64,794.52","66,515.89","66,515.89","50,94,14,53,102"
"Feb 26, 2025","72,469.86","73,221.78","67,872.11","70,025.62","70,025.62","72,71,10,21,188"
"Feb 25, 2025","76,116.20","76,283.47","72,418.05","72,454.84","72,454.84","34,90,96,98,841"
"Feb 24, 2025","76,463.93","76,538.41","75,428.86","76,113.01","76,113.01","13,43,95,84,085"
"Feb 23, 2025","76,070.44","76,758.73","75,811.67","76,463.90","76,463.90","14,53,13,46,868"
"Feb 22, 2025","77,620.59","78,670.66","75,095.94","76,063.59","76,063.59","39,25,50,81,203"
